招聘信息,公司名,工作地点,公司类型,薪资,福利,公司规模,企业类型,工作经验,学历,招聘人数,最低薪资,最高薪资
会计,启航汽车有限公司,湖州,国企,5-7千/月,五险一金 周末双休 包吃 包住宿 免费班车 综合补贴 法定节假日,150-500人,汽车,无需经验,大专,招1人,0.5,0.7
会计实习生,东莞市天禧会计师事务所（普通合伙）,东莞,民营公司,1.5-2千/月,周末双休 五险一金 专业培训 加班补贴,少于50人,会计/审计,校招,大专,招若干人,0.15,0.2
客户代表/电话销售/信用卡业务员,广州幸福树科技有限公司,广州,民营公司,0.6-1.2万/月,带薪年假 五险一金 节日福利 餐饮补贴 下午茶活动 专业培训 绩效奖金 年终奖金 定期体检,150-500人,互联网/电子商务,无需经验,大专,招10人,0.6,1.2
会计助理,广州欧尼克焊接科技有限公司,广州,民营公司,4-6千/月,周末双休 五险一金 包吃 包住宿 节日福利 全勤奖 绩效奖金 餐饮补贴 加班补贴 高温补贴,50-150人,机械/设备/重工,校招,大专,招1人,0.4,0.6
项目会计,贵州三蒲建设工程（集团）有限公司,贵阳,民营公司,4.5-6千/月,五险一金 员工旅游 交通补贴 通讯补贴 餐饮补贴 定期体检 绩效奖金 专业培训 周末双休 包吃,150-500人,建筑/建材/工程,校招,本科,招1人,0.45,0.6
会计,山河醋业有限公司,晋中,民营公司,4.5-6千/月,五险一金 专业培训 通讯补贴 员工旅游 年终奖金,500-1000人,快速消费品(食品、饮料、化妆品),无需经验,大专,招1人,0.45,0.6
交易员助理（6k底薪+提成+双休）,广东合顺投资控股有限公司,广州,民营公司,0.8-1.6万/月,五险一金 补充医疗保险 补充公积金 员工旅游 专业培训 出国机会 绩效奖金 年终奖金 弹性工作 定期体检,50-150人,金融/投资/证券,无需经验,大专,招4人,0.8,1.6
财务分析师,北京智泽华软件有限责任公司,北京,民营公司,0.8-1万/月,五险一金 餐饮补贴 通讯补贴 交通补贴,少于50人,计算机软件,无需经验,本科,招2人,0.8,1
证券经纪人,中国银河证券股份有限公司肇庆星湖大道证券营业部,肇庆,国企,0.8-1万/月,弹性工作 专业培训,10000人以上,金融/投资/证券,无需经验,中技/中专,招5人,0.8,1
会计实习生,广州恩赐财税策划有限公司,广州,民营公司,2-3千/月,节日福利 绩效奖金 五险一金 带薪年假 全勤奖,50-150人,会计/审计,无需经验,中技/中专,招3人,0.2,0.3
双休外勤会计,常熟瑞宜斯财务管理有限公司,常熟,合资,2-3千/月,五险一金 带薪年假 专业培训 节日福利 全勤奖 绩效奖金 每日下午茶 不定期团建 法定国假 年度旅游,50-150人,专业服务(咨询、人力资源、财会),校招,大专,招若干人,0.2,0.3
知名保险售后英语客服（非销售）,PCCW 电讯盈科,广州,外资（非欧美）,7-9千/月,绩效奖金 五险一金 带薪年假 加班补贴 年终奖金 弹性工作 节日福利 专业培训,10000人以上,通信/电信运营、增值服务,无需经验,中技/中专,招若干人,0.7,0.9
审计实习生,广州智华企业咨询合伙企业（普通合伙）,广州,民营公司,2-3千/月,五险一金 员工旅游 通讯补贴 绩效奖金 年终奖金,50-150人,会计/审计,校招,本科,招10人,0.2,0.3
财务会计助理1,青岛中电海鑫投资管理有限公司,青岛,民营公司,3.5-5千/月,五险一金 餐饮补贴 加班补贴,150-500人,交通/运输/物流,校招,大专,招5人,0.35,0.5
会计,深圳市腾创瑞科技有限公司,深圳,民营公司,5-8千/月,绩效奖金 五险一金 年终奖金 弹性工作,少于50人,机械/设备/重工,无需经验,大专,招1人,0.5,0.8
会计助理,广州市百佳洋服饰有限公司,广州,民营公司,4.5-6千/月,绩效奖金 专业培训 节日福利 员工旅游 社保,150-500人,服装/纺织/皮革,无需经验,大专,招1人,0.45,0.6
证券经纪人,广州市万隆证券咨询顾问有限公司,广州,民营公司,0.8-1万/月,做五休二 全勤奖 包吃 五险一金,150-500人,金融/投资/证券,无需经验,高中,招10人,0.8,1
财务专员（北京）,中粮肉食（山东）有限公司,北京,国企,0.9-1.2万/月,五险一金 绩效奖金 餐饮补贴 节假日福利 晋升空间,1000-5000人,快速消费品(食品、饮料、化妆品),校招,硕士,招1人,0.9,1.2
理财顾问/财务规划师（双休/五险一金）,深圳腾邦保险经纪有限公司南山分公司,武汉,民营公司,1.5-3万/月,五险一金 专业培训 绩效奖金 周末双休 带薪年假 全勤奖 餐饮补贴 交通补贴,50-150人,保险,无需经验,大专,招5人,1.5,3
外勤会计,阳江市携诚会计咨询服务有限公司,阳江,民营公司,2-3千/月,专业培训 大小周休息 交通补贴 社保,50-150人,会计/审计,校招,中技/中专,招2人,0.2,0.3
内审员,广东摩泰光电有限公司,东莞,民营公司,5-6千/月,五险一金 员工旅游 专业培训 股票期权 定期体检 绩效奖金 五天八小时,150-500人,通信/电信/网络设备,校招,大专,招1人,0.5,0.6
会计助理-8F,深圳奥尼电子股份有限公司,深圳,上市公司,4.5-5.5千/月,五险一金 员工旅游 绩效奖金 年终奖金 专业培训 带薪年假 节日福利,1000-5000人,多元化业务集团公司,无需经验,本科,招1人,0.45,0.55
会计实习生,苏州华咨会计服务有限责任公司,苏州,民营公司,3.5-7千/月,五险一金 员工旅游 定期体检 弹性工作 专业培训 通讯补贴 绩效奖金,少于50人,会计/审计,校招,大专,招3人,0.35,0.7
出纳,深圳市华美兴泰科技股份有限公司,深圳,民营公司,4.5-5千/月,周末双休 带薪年假 包住宿 节日福利 餐饮补贴 社保,500-1000人,电子技术/半导体/集成电路,校招,大专,招1人,0.45,0.5
会计核算（应届生岗位）,传化智联股份有限公司,杭州,民营公司,0.8-1万/月,五险一金 免费班车 交通补贴 餐饮补贴 年终奖金 弹性工作,5000-10000人,多元化业务集团公司,校招,本科,招5人,0.8,1
金融产品助教（销售岗）,浙江同花顺云软件有限公司,杭州,上市公司,1-1.5万/月,五险一金 带薪年假 五险一金 全勤奖 包三餐 节日福利 专业培训 餐饮补贴 绩效奖金 免费班车,1000-5000人,计算机软件,无需经验,大专,招15人,1,1.5
财务岗,福建海峡企业管理服务有限公司,福州,国企,3.4-4千/月,周末双休 五险一金 带薪休假 餐补 工会福利,1000-5000人,专业服务(咨询、人力资源、财会),无需经验,本科,招若干人,0.34,0.4
理财规划师（财富管理方向）,中信建投证券股份有限公司佛山季华西路证券营业部,佛山,上市公司,6-8千/月,五险一金 补充医疗保险 餐饮补贴 专业培训 定期体检 带薪年休假 节日慰问,少于50人,金融/投资/证券,校招,本科,招20人,0.6,0.8
财务实习生 周末双休,四川达信立知识产权代理有限公司,成都,民营公司,2-4千/月,专业培训 五险 周末双休 带薪年假 高温补贴 节日福利 法定节假日 生日礼金 全勤奖 结婚生育补助,150-500人,法律,无需经验,大专,招2人,0.2,0.4
财务出纳,深圳市杰驰电子有限公司,深圳,民营公司,5-7千/月,绩效奖金 年终奖金 定期体检 员工旅游 通讯补贴 餐饮补贴 年底双薪 超长带薪年假,50-150人,电子技术/半导体/集成电路,无需经验,大专,招1人,0.5,0.7
会计助理,东莞市众财财税科技有限公司,东莞,民营公司,2-3千/月,绩效奖金 年终奖金 专业培训 员工旅游 餐饮补贴 五险 团队聚餐 节日礼物,少于50人,会计/审计,无需经验,大专,招2人,0.2,0.3
理财规划师-新媒体运营管理方向,中信建投证券股份有限公司北京方庄路证券营业部,北京,上市公司,1-1.5万/月,五险一金 补充医疗保险 定期体检 年终奖金 绩效奖金 专业培训,10000人以上,金融/投资/证券,校招,本科,招3人,1,1.5
年金运营岗--2022届,泰康养老保险股份有限公司浙江分公司,杭州,民营公司,6-8千/月,周末双休 带薪年假 五险一金 定期体检 绩效奖金 餐饮补贴 高温补贴 节日福利,150-500人,保险,校招,本科,招若干人,0.6,0.8
[查特-深冷]财务实习生,查特深冷工程系统(常州)有限公司,常州,外资（欧美）,2-3千/月,五险一金 节日福利 周末双休 餐饮补贴 加班补贴 高温补贴 绩效奖金,500-1000人,机械/设备/重工,校招,本科,招1人,0.2,0.3
航空会计+文员+行政+前台+票务,河北空联航空服务有限公司,石家庄,民营公司,4.5-6千/月,做五休二 周末双休 五险一金 包吃 包住宿 交通补贴 高温补贴 住房补贴 加班补贴 绩效奖金,150-500人,交通/运输/物流,校招,大专,招38人,0.45,0.6
前台兼出纳,上海仁昊电子科技有限公司,上海,民营公司,4-5千/月,五险一金 定期体检 员工旅游 餐饮补贴 年终奖金,少于50人,电子技术/半导体/集成电路,无需经验,中技/中专,招1人,0.4,0.5
销售会计,吉田拉链（深圳）有限公司,深圳,外资（非欧美）,5-6.5千/月,五险一金 员工旅游 定期体检 年终奖金,1000-5000人,服装/纺织/皮革,无需经验,大专,招1人,0.5,0.65
客户经理,中国银河证券股份有限公司上海东大名路外滩证券营业部,上海,国企,3-6千/月,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检,50-150人,金融/投资/证券,无需经验,大专,招3人,0.3,0.6
会计助理（海口）,海南罗牛山食汇信息技术有限公司,海口,民营公司,3-4.5千/月,五险一金 餐饮补贴,50-150人,互联网/电子商务,无需经验,本科,招2人,0.3,0.45
审计实习生,浙江波普环境服务有限公司,杭州,民营公司,2-3千/月,五险一金 节日福利 专业培训 带薪年假 餐饮补贴,1000-5000人,环保,校招,本科,招2人,0.2,0.3
财务部实习生,上海亚东国际货运有限公司,上海,民营公司,3-4千/月,做五休二,1000-5000人,交通/运输/物流,校招,大专,招1人,0.3,0.4
会计助理,嘉谨（广州）会计服务有限公司,广州,民营公司,3-5千/月,周末双休 餐饮补贴 绩效奖金 全勤奖 带薪年假,少于50人,专业服务(咨询、人力资源、财会),无需经验,大专,招若干人,0.3,0.5
留学生管培岗,北京华玺联合投资管理集团有限公司青岛分公司,青岛,国企,0.6-1.2万/月,绩效奖金 专业培训 员工团建 员工旅游 五险一金,1000-5000人,金融/投资/证券,无需经验,本科,招3人,0.6,1.2
出纳,美尚生态景观股份有限公司,无锡,上市公司,4-5千/月,五险一金 节日福利 带薪年假 绩效奖金 周末双休,500-1000人,建筑/建材/工程,校招,本科,招1人,0.4,0.5
会计,广东大吉财税服务有限公司,中山,民营公司,4-6千/月,包吃 包住宿 交通补贴 通讯补贴 专业培训 全勤奖 绩效奖金 五险一金 周末单休 年度旅游,50-150人,专业服务(咨询、人力资源、财会),无需经验,大专,招3人,0.4,0.6
会计助理,云南昊恒财务信息咨询有限公司,昆明,民营公司,2-3千/月,节日福利 加班补贴 周末双休 通讯补贴 五险 绩效奖金,少于50人,专业服务(咨询、人力资源、财会),校招,高中,招2人,0.2,0.3
电销专员诚聘+五险一金+免费午餐,四川开颜知识产权服务有限公司,成都,民营公司,6-9千/月,周末双休 带薪年假 五险一金 绩效奖金 全勤奖 节日福利 专业培训 加班补贴 免费午餐,50-150人,专业服务(咨询、人力资源、财会),无需经验,大专,招15人,0.6,0.9
审计或税务项目助理,四川毅众祥医药科技有限公司,成都,民营公司,5-7千/月,提成 其他福利,少于50人,制药/生物工程,无需经验,大专,招3人,0.5,0.7
会计助理,天津欧硕科技有限公司,天津,民营公司,4.5-6千/月,高温补贴 加班补贴 绩效奖金 五险一金 带薪年假 包住宿 节日福利 全勤奖 专业培训 通讯补贴,50-150人,快速消费品(食品、饮料、化妆品),校招,大专,招5人,0.45,0.6
出纳员,北京西嘉国际货运有限公司,北京,民营公司,5-6千/月,周末双休 带薪年假 五险一金,少于50人,交通/运输/物流,无需经验,大专,招1人,0.5,0.6
出纳/会计（双休）,深圳市铂盛科技有限公司,深圳,民营公司,5-8千/月,五险一金 免费班车 员工旅游 专业培训 定期体检 年终奖金 绩效奖金,少于50人,计算机硬件,无需经验,本科,招1人,0.5,0.8
交易员4.5小时双休,郑州优投商贸有限公司,郑州,民营公司,0.6-1.2万/月,专业培训 周末双休 法定节假日休,50-150人,专业服务(咨询、人力资源、财会),无需经验,大专,招30人,0.6,1.2
会计财务（外账）底薪4600+提成+五险,武汉数字起源科技有限公司,武汉,民营公司,6-8千/月,周末双休 弹性工作 带薪年假 五险一金 包住宿 绩效奖金 节日福利 专业培训 交通补贴 通讯补贴,少于50人,计算机软件,无需经验,大专,招2人,0.6,0.8
财务会计岗,上海中建城市发展投资有限公司,上海,国企,1-1.5万/月,带薪年假 节日福利 绩效奖金 专业培训 定期体检 补充公积金 五险一金,10000人以上,建筑/建材/工程,校招,本科,招若干人,1,1.5
业务精英/车贷专员,杭州萧融融资担保有限公司,杭州,民营公司,0.6-1万/月,五险一金 包吃 带薪年假 绩效奖金 节日福利 专业培训,50-150人,信托/担保/拍卖/典当,无需经验,高中,招若干人,0.6,1
开票员,北京索莱宝科技有限公司,北京,民营公司,6-8千/月,五险一金 绩效奖金 全勤奖 包住宿 节日福利 专业培训 带薪年假 餐饮补贴 通讯补贴,150-500人,制药/生物工程,校招,大专,招1人,0.6,0.8
成本会计,南昌弘益药业有限公司,南昌,民营公司,3.2-5千/月,免费工作餐 年终奖金 绩效奖金 周末双休 员工旅游 五险,150-500人,制药/生物工程,无需经验,本科,招1人,0.32,0.5
会计助理,常州市艾迈斯电子有限公司,常州,民营公司,3-5千/月,绩效奖金 全勤奖 加班补贴 五险一金 专业培训 年终奖金 员工旅游 餐饮补贴,150-500人,电子技术/半导体/集成电路,无需经验,大专,招1人,0.3,0.5
会计助理,云南熠辉信息技术有限公司,昆明,民营公司,4.5-6千/月,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 弹性工作 补充公积金,少于50人,计算机软件,无需经验,本科,招10人,0.45,0.6
往来会计,苏州含光微纳科技有限公司,苏州,民营公司,5-7千/月,弹性工作 带薪年假 五险一金 节日福利 餐饮补贴 员工旅游 定期体检,150-500人,医疗设备/器械,无需经验,本科,招若干人,0.5,0.7
财务专员,江苏爱康科技股份有限公司,无锡,民营公司,5-8千/月,五险一金 餐饮补贴 专业培训 年终奖金 定期体检 补充医疗保险 绩效奖金 周末双休,1000-5000人,新能源,无需经验,本科,招若干人,0.5,0.8
2022届校招 财务类岗位,惠科股份有限公司,深圳,民营公司,0.8-1.2万/月,五险一金 员工旅游 年终奖金 定期体检 绩效奖金 专业培训 部门团建 人才住房,5000-10000人,计算机硬件,校招,本科,招若干人,0.8,1.2
招全职上班会计,中山市宝华会计事务有限公司,中山,民营公司,3.5-5.5千/月,年终奖金 购买社保 专业培训,50-150人,会计/审计,校招,中技/中专,招2人,0.35,0.55
渠道助理,中国大地财产保险股份有限公司北京分公司,北京,国企,0.6-1万/月,做五休二 周末双休 带薪年假 五险一金 节日福利 餐饮补贴 高温补贴,150-500人,保险,无需经验,本科,招若干人,0.6,1
应收会计,上海博恩登特科技有限公司,上海,合资,0.7-1万/月,五险一金 专业培训 带薪年假 节日福利 绩效奖金 周末双休 集团公司 弹性工作 牛人团队 免费午餐,1000-5000人,医疗设备/器械,校招,本科,招1人,0.7,1
风控专员,金田,东莞,民营公司,4.5-5千/月,包吃包住 带薪年假 8小时工作制 办公环境优美 购买五险 13薪,1000-5000人,印刷/包装/造纸,校招,本科,招1人,0.45,0.5
